sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-07-03;106,50;106,75;106,25;107,00;104,25;106,75;105,856;26632;2819157;387;
2017-06-30;106,75;107,00;105,50;108,00;105,50;106,75;106,707;20666;2205213,5;270;
2017-06-29;107,00;107,25;108,75;109,50;106,75;106,75;108,15;21072;2278929;316;
2017-06-28;108,75;109,00;109,00;109,75;108,00;108,75;108,676;12306;1337370,5;246;
2017-06-27;109,25;109,50;111,00;111,00;108,75;109,00;109,999;13160;1447591;224;
2017-06-26;110,25;110,75;110,75;111,50;108,50;110,75;109,769;30146;3309106;400;
2017-06-22;110,75;111,25;110,00;111,25;107,25;110,75;109,37;25506;2789598,5;334;
2017-06-21;110,00;110,25;110,75;111,00;110,00;110,00;110,371;16624;1834811;248;
2017-06-20;110,50;110,75;110,50;111,00;110,00;110,75;110,328;22954;2532478;258;
2017-06-19;110,25;110,75;112,00;112,25;110,25;110,75;110,994;41436;4599128;337;
2017-06-16;111,50;112,00;113,75;114,75;111,00;112,00;112,163;26082;2925435,5;219;
2017-06-15;112,50;113,00;112,50;113,25;111,50;112,50;112,294;18480;2075191,5;177;
2017-06-14;112,50;112,75;112,50;113,75;112,00;112,75;112,979;13156;1486354,5;142;
2017-06-13;112,00;112,25;113,00;113,25;111,75;112,00;112,343;15594;1751876;203;
2017-06-12;112,50;112,75;114,25;114,75;112,00;113,00;112,657;18108;2039998,5;233;
2017-06-09;113,50;113,75;114,00;115,00;113,25;114,00;114,246;26460;3022952,5;176;
2017-06-08;114,00;114,75;112,50;115,00;112,25;114,00;114,029;21298;2428583,5;254;
2017-06-07;112,75;113,25;114,50;115,00;111,50;112,75;113,268;17174;1945256;242;
2017-06-05;114,50;114,75;114,00;115,00;113,50;114,50;114,559;15772;1806823,5;162;
2017-06-02;113,00;113,25;112,00;114,00;112,00;113,25;113,318;17154;1943853,5;160;
2017-06-01;111,50;112,00;112,25;112,25;111,25;112,00;111,752;14496;1619961;272;
2017-05-31;111,75;112,25;113,00;113,25;110,50;112,25;111,574;16116;1798119;278;
2017-05-30;112,50;113,00;114,00;114,50;112,50;113,00;113,218;20656;2338637,5;241;
2017-05-29;114,00;114,50;114,00;116,50;114,00;114,00;115,674;41852;4841204,5;267;
2017-05-26;116,25;117,00;118,25;119,50;115,75;116,25;118,422;11558;1368720,5;221;
2017-05-24;117,75;118,25;116,50;118,50;116,50;118,25;117,798;11330;1334655,5;148;
2017-05-23;116,50;117,00;115,50;117,00;113,75;116,50;115,113;17460;2009873,5;224;
2017-05-22;113,75;114,25;113,00;115,00;112,50;114,25;113,93;16684;1900806,5;197;
2017-05-19;112,25;112,50;110,50;113,00;109,75;112,75;111,255;28492;3169868,5;303;
2017-05-18;111,00;111,25;115,50;115,50;108,75;111,00;111,338;57992;6456739;762;
2017-05-17;115,50;116,00;119,25;119,25;115,25;115,50;116,646;32240;3760657;365;
2017-05-16;119,00;119,50;119,50;120,00;118,75;119,25;119,34;17982;2145974;185;
2017-05-15;119,50;120,00;119,25;120,25;118,75;119,50;119,654;34034;4072290;217;
2017-05-12;118,50;118,75;119,00;119,50;117,50;118,75;118,916;20018;2380469;180;
2017-05-11;118,75;119,50;116,00;119,50;116,00;119,00;117,393;22474;2638281,5;151;
2017-05-10;116,00;116,75;115,75;117,50;115,50;116,00;116,175;42848;4977885;154;
2017-05-09;115,25;115,75;116,00;116,50;115,25;115,75;115,758;17558;2032471;158;
2017-05-08;115,75;116,00;116,50;117,25;113,50;116,00;115,989;16828;1951870,5;163;
2017-05-05;116,00;116,75;115,50;117,50;115,50;116,50;116,708;22654;2643911,5;154;
2017-05-04;114,75;115,50;115,00;116,00;114,75;114,75;115,296;15310;1765180,5;172;
2017-05-03;114,50;114,75;114,50;117,00;114,50;114,75;114,823;15060;1729237;193;
2017-05-02;114,50;114,75;112,75;114,75;112,75;114,50;114,458;20268;2319829,5;225;
2017-04-28;112,75;113,25;113,00;113,25;111,50;112,75;112,75;36478;4120200;216;
2017-04-27;113,00;113,25;113,25;113,50;112,50;113,25;113,30;13598;1540649,5;162;
2017-04-26;113,00;113,25;112,00;113,75;112,00;113,25;113,273;17272;1956456,5;185;
2017-04-25;112,25;112,50;111,25;112,50;111,25;112,00;112,101;15442;1731060,5;155;
2017-04-24;111,25;111,50;110,00;112,00;109,75;111,25;110,997;16014;1777499,5;139;
2017-04-21;110,00;110,50;111,50;111,75;109,50;110,25;110,614;14722;1628457;142;
2017-04-20;111,00;111,50;109,50;111,50;108,75;111,50;110,621;22084;2442963,5;146;
2017-04-19;108,75;109,50;107,00;109,50;107,00;109,25;107,626;34680;3732472,5;106;
2017-04-18;106,75;107,25;108,25;110,00;106,75;107,00;108,061;22400;2420575,5;212;
2017-04-13;108,25;108,50;109,50;109,50;107,50;108,50;108,235;5926;641403;76;
2017-04-12;108,50;109,50;110,00;110,25;108,75;108,75;109,624;38306;4199253,5;139;
